,ScenarioID,CountryID,Year,PassTransIntensity_IX,FreightTransIntensity_IX,ShDe_PassPrivCar_IX,ShDe_PassPublicTrans_IX,ShDe_PassPlane_IX,ShDe_FreightTransRoad_IX,ShDe_FreightTransRail_IX,ShTrip_CarU_IX,ShTrip_CarR_IX,ShTrip_CarH_IX,FreightTrans_EU_CEC_IX
0,1,9,2012,1,1,1,1,1,1,1,1,1,1,1
1,1,9,2013,1,1,1,1,1,1,1,1,1,1,1
2,1,9,2014,1,1,1,1,1,1,1,1,1,1,1
3,1,9,2015,1,1,1,1,1,1,1,1,1,1,1
4,1,9,2016,1,1,1,1,1,1,1,1,1,1,1
5,1,9,2017,1,1,1,1,1,1,1,1,1,1,1
6,1,9,2018,1,1,1,1,1,1,1,1,1,1,1
7,1,9,2019,1,1,1,1,1,1,1,1,1,1,1
8,1,9,2020,1,1,1,1,1,1,1,1,1,1,1
9,1,9,2021,1,1,1,1,1,1,1,1,1,1,1
10,1,9,2022,1,1,1,1,1,1,1,1,1,1,1
11,1,9,2023,1,1,1,1,1,1,1,1,1,1,1
12,1,9,2024,1,1,1,1,1,1,1,1,1,1,1
13,1,9,2025,1,1,1,1,1,1,1,1,1,1,1
14,1,9,2026,1,1,1,1,1,1,1,1,1,1,1
15,1,9,2027,1,1,1,1,1,1,1,1,1,1,1
16,1,9,2028,1,1,1,1,1,1,1,1,1,1,1
17,1,9,2029,1,1,1,1,1,1,1,1,1,1,1
18,1,9,2030,1,1,1,1,1,1,1,1,1,1,1
19,1,9,2031,1,1,1,1,1,1,1,1,1,1,1
20,1,9,2032,1,1,1,1,1,1,1,1,1,1,1
21,1,9,2033,1,1,1,1,1,1,1,1,1,1,1
22,1,9,2034,1,1,1,1,1,1,1,1,1,1,1
23,1,9,2035,1,1,1,1,1,1,1,1,1,1,1
24,1,9,2036,1,1,1,1,1,1,1,1,1,1,1
25,1,9,2037,1,1,1,1,1,1,1,1,1,1,1
26,1,9,2038,1,1,1,1,1,1,1,1,1,1,1
27,1,9,2039,1,1,1,1,1,1,1,1,1,1,1
28,1,9,2040,1,1,1,1,1,1,1,1,1,1,1
29,1,9,2041,1,1,1,1,1,1,1,1,1,1,1
30,1,9,2042,1,1,1,1,1,1,1,1,1,1,1
31,1,9,2043,1,1,1,1,1,1,1,1,1,1,1
32,1,9,2044,1,1,1,1,1,1,1,1,1,1,1
33,1,9,2045,1,1,1,1,1,1,1,1,1,1,1
34,1,9,2046,1,1,1,1,1,1,1,1,1,1,1
35,1,9,2047,1,1,1,1,1,1,1,1,1,1,1
36,1,9,2048,1,1,1,1,1,1,1,1,1,1,1
37,1,9,2049,1,1,1,1,1,1,1,1,1,1,1
38,1,9,2050,1,1,1,1,1,1,1,1,1,1,1
39,1,9,2051,1,1,1,1,1,1,1,1,1,1,1
40,1,9,2052,1,1,1,1,1,1,1,1,1,1,1
41,1,9,2053,1,1,1,1,1,1,1,1,1,1,1
42,1,9,2054,1,1,1,1,1,1,1,1,1,1,1
43,1,9,2055,1,1,1,1,1,1,1,1,1,1,1
44,1,9,2056,1,1,1,1,1,1,1,1,1,1,1
45,1,9,2057,1,1,1,1,1,1,1,1,1,1,1
46,1,9,2058,1,1,1,1,1,1,1,1,1,1,1
47,1,9,2059,1,1,1,1,1,1,1,1,1,1,1
48,1,9,2060,1,1,1,1,1,1,1,1,1,1,1
49,1,9,2061,1,1,1,1,1,1,1,1,1,1,1
50,1,9,2062,1,1,1,1,1,1,1,1,1,1,1
51,1,9,2063,1,1,1,1,1,1,1,1,1,1,1
52,1,9,2064,1,1,1,1,1,1,1,1,1,1,1
53,1,9,2065,1,1,1,1,1,1,1,1,1,1,1
54,1,9,2066,1,1,1,1,1,1,1,1,1,1,1
55,1,9,2067,1,1,1,1,1,1,1,1,1,1,1
56,1,9,2068,1,1,1,1,1,1,1,1,1,1,1
57,1,9,2069,1,1,1,1,1,1,1,1,1,1,1
58,1,9,2070,1,1,1,1,1,1,1,1,1,1,1
59,1,9,2071,1,1,1,1,1,1,1,1,1,1,1
60,1,9,2072,1,1,1,1,1,1,1,1,1,1,1
61,1,9,2073,1,1,1,1,1,1,1,1,1,1,1
62,1,9,2074,1,1,1,1,1,1,1,1,1,1,1
63,1,9,2075,1,1,1,1,1,1,1,1,1,1,1
64,1,9,2076,1,1,1,1,1,1,1,1,1,1,1
65,1,9,2077,1,1,1,1,1,1,1,1,1,1,1
66,1,9,2078,1,1,1,1,1,1,1,1,1,1,1
67,1,9,2079,1,1,1,1,1,1,1,1,1,1,1
68,1,9,2080,1,1,1,1,1,1,1,1,1,1,1
69,1,9,2081,1,1,1,1,1,1,1,1,1,1,1
70,1,9,2082,1,1,1,1,1,1,1,1,1,1,1
71,1,9,2083,1,1,1,1,1,1,1,1,1,1,1
72,1,9,2084,1,1,1,1,1,1,1,1,1,1,1
73,1,9,2085,1,1,1,1,1,1,1,1,1,1,1
74,1,9,2086,1,1,1,1,1,1,1,1,1,1,1
75,1,9,2087,1,1,1,1,1,1,1,1,1,1,1
76,1,9,2088,1,1,1,1,1,1,1,1,1,1,1
77,1,9,2089,1,1,1,1,1,1,1,1,1,1,1
78,1,9,2090,1,1,1,1,1,1,1,1,1,1,1
79,1,9,2091,1,1,1,1,1,1,1,1,1,1,1
80,1,9,2092,1,1,1,1,1,1,1,1,1,1,1
81,1,9,2093,1,1,1,1,1,1,1,1,1,1,1
82,1,9,2094,1,1,1,1,1,1,1,1,1,1,1
83,1,9,2095,1,1,1,1,1,1,1,1,1,1,1
84,1,9,2096,1,1,1,1,1,1,1,1,1,1,1
85,1,9,2097,1,1,1,1,1,1,1,1,1,1,1
86,1,9,2098,1,1,1,1,1,1,1,1,1,1,1
87,1,9,2099,1,1,1,1,1,1,1,1,1,1,1
88,1,9,2100,1,1,1,1,1,1,1,1,1,1,1
